Rank,Name,Platform,Year,Genre
1,Wii Sports,26,2006.0,10
2,Super Mario Bros.,11,1985.0,4
3,Mario Kart Wii,26,2008.0,6
4,Wii Sports Resort,26,2009.0,10
5,Pokemon Red/Pokemon Blue,5,1996.0,7
6,Tetris,5,1989.0,5
7,New Super Mario Bros.,4,2006.0,4
8,Wii Play,26,2006.0,3
9,New Super Mario Bros. Wii,26,2009.0,4
10,Duck Hunt,11,1984.0,8
11,Nintendogs,4,2005.0,9
12,Mario Kart DS,4,2005.0,6
13,Pokemon Gold/Pokemon Silver,5,1999.0,7
14,Wii Fit,26,2007.0,10
15,Wii Fit Plus,26,2009.0,10
16,Kinect Adventures!,28,2010.0,3
17,Grand Theft Auto V,17,2013.0,0
18,Grand Theft Auto: San Andreas,16,2004.0,0
19,Super Mario World,23,1990.0,4
20,Brain Age: Train Your Brain in Minutes a Day,4,2005.0,3
21,Pokemon Diamond/Pokemon Pearl,4,2006.0,7
22,Super Mario Land,5,1989.0,4
23,Super Mario Bros. 3,11,1988.0,4
24,Grand Theft Auto V,28,2013.0,0
25,Grand Theft Auto: Vice City,16,2002.0,0
26,Pokemon Ruby/Pokemon Sapphire,6,2002.0,7
27,Pokemon Black/Pokemon White,4,2010.0,7
28,Brain Age 2: More Training in Minutes a Day,4,2005.0,5
29,Gran Turismo 3: A-Spec,16,2001.0,6
30,Call of Duty: Modern Warfare 3,28,2011.0,8
31,Pokémon Yellow: Special Pikachu Edition,5,1998.0,7
32,Call of Duty: Black Ops,28,2010.0,8
33,Pokemon X/Pokemon Y,2,2013.0,7
34,Call of Duty: Black Ops 3,18,2015.0,8
35,Call of Duty: Black Ops II,17,2012.0,8
36,Call of Duty: Black Ops II,28,2012.0,8
37,Call of Duty: Modern Warfare 2,28,2009.0,8
38,Call of Duty: Modern Warfare 3,17,2011.0,8
39,Grand Theft Auto III,16,2001.0,0
40,Super Smash Bros. Brawl,26,2008.0,2
41,Call of Duty: Black Ops,17,2010.0,8
42,Animal Crossing: Wild World,4,2005.0,9
43,Mario Kart 7,2,2011.0,6
44,Halo 3,28,2007.0,8
45,Grand Theft Auto V,18,2014.0,0
46,Pokemon HeartGold/Pokemon SoulSilver,4,2009.0,0
47,Super Mario 64,10,1996.0,4
48,Gran Turismo 4,16,2004.0,6
49,Super Mario Galaxy,26,2007.0,4
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2,2014.0,7
51,Super Mario Land 2: 6 Golden Coins,5,1992.0,1
52,Grand Theft Auto IV,28,2008.0,0
53,Gran Turismo,15,1997.0,6
54,Super Mario 3D Land,2,2011.0,4
55,Gran Turismo 5,17,2010.0,6
56,Call of Duty: Modern Warfare 2,17,2009.0,8
57,Grand Theft Auto IV,17,2008.0,0
58,Super Mario All-Stars,23,1993.0,4
59,Pokemon FireRed/Pokemon LeafGreen,6,2004.0,7
60,Super Mario 64,4,2004.0,4
61,Just Dance 3,26,2011.0,3
62,Call of Duty: Ghosts,28,2013.0,8
63,Halo: Reach,28,2010.0,8
64,Mario Kart 64,10,1996.0,6
65,New Super Mario Bros. 2,2,2012.0,4
66,Halo 4,28,2012.0,8
67,Final Fantasy VII,15,1997.0,7
68,Call of Duty: Ghosts,17,2013.0,8
69,Just Dance 2,26,2010.0,3
70,Gran Turismo 2,15,1999.0,6
71,Call of Duty 4: Modern Warfare,28,2007.0,8
72,Donkey Kong Country,23,1994.0,4
73,Minecraft,28,2013.0,3
74,Animal Crossing: New Leaf,2,2012.0,9
75,Mario Party DS,4,2007.0,3
76,The Elder Scrolls V: Skyrim,28,2011.0,7
77,Super Mario Kart,23,1992.0,6
78,FIFA 16,18,2015.0,10
79,Wii Party,26,2010.0,3
80,Halo 2,29,2004.0,8
81,Mario Party 8,26,2007.0,3
82,Pokemon Black 2/Pokemon White 2,4,2012.0,7
83,FIFA Soccer 13,17,2012.0,0
84,The Sims 3,13,2009.0,9
85,GoldenEye 007,10,1997.0,8
86,Mario & Sonic at the Olympic Games,26,2007.0,10
87,Final Fantasy X,16,2001.0,7
88,Final Fantasy VIII,15,1999.0,7
89,Pokémon Platinum Version,4,2008.0,7
90,Pac-Man,0,1982.0,5
91,Grand Theft Auto: Liberty City Stories,19,2005.0,0
92,Super Mario Galaxy 2,26,2010.0,4
93,Star Wars Battlefront (2015),18,2015.0,8
94,Call of Duty: Advanced Warfare,18,2014.0,8
95,The Legend of Zelda: Ocarina of Time,10,1998.0,0
96,Crash Bandicoot 2: Cortex Strikes Back,15,1997.0,4
97,Super Mario Bros. 2,11,1988.0,4
98,Super Smash Bros. for Wii U and 3DS,2,2014.0,2
99,Call of Duty: World at War,28,2008.0,8
100,Battlefield 3,28,2011.0,8
101,The Legend of Zelda: Twilight Princess,26,2006.0,0
102,Call of Duty: Black Ops 3,30,2015.0,8
103,Just Dance,26,2009.0,3
104,Battlefield 3,17,2011.0,8
105,Need for Speed Underground,16,2003.0,6
106,Tekken 3,15,1998.0,2
107,Crash Bandicoot 3: Warped,15,1998.0,4
108,Super Smash Bros. Melee,7,2001.0,2
109,Mario Kart 8,27,2014.0,6
110,Fallout 4,18,2015.0,7
111,Mario Kart: Double Dash!!,7,2003.0,6
112,Just Dance 4,26,2012.0,3
113,FIFA 14,17,2013.0,10
114,Need for Speed Underground 2,16,2004.0,6
115,Medal of Honor: Frontline,16,2002.0,8
116,Uncharted 3: Drake's Deception,17,2011.0,0
117,Crash Bandicoot,15,1996.0,4
118,Zumba Fitness,26,2010.0,10
119,Gears of War 2,28,2008.0,8
120,Uncharted 2: Among Thieves,17,2009.0,0
121,Call of Duty 4: Modern Warfare,17,2007.0,8
122,FIFA 12,17,2011.0,10
123,Big Brain Academy,4,2005.0,3
124,Red Dead Redemption,17,2010.0,0
125,FIFA 15,18,2014.0,10
126,Donkey Kong Country Returns,26,2010.0,4
127,The Elder Scrolls V: Skyrim,17,2011.0,7
128,The Legend of Zelda,11,1986.0,0
129,Assassin's Creed III,17,2012.0,0
130,Halo: Combat Evolved,29,2001.0,8
131,Pokémon Emerald Version,6,2004.0,7
132,Kingdom Hearts,16,2002.0,7
133,Pokémon Crystal Version,5,2000.0,7
134,Halo 3: ODST,28,2009.0,8
135,Red Dead Redemption,28,2010.0,0
136,Super Mario Sunshine,7,2002.0,4
137,Street Fighter II: The World Warrior,23,1992.0,2
138,World of Warcraft,13,2004.0,7
139,Driver,15,1999.0,0
140,Kinect Sports,28,2010.0,10
141,Gears of War 3,28,2011.0,8
142,Gears of War,28,2006.0,8
143,Metal Gear Solid 2: Sons of Liberty,16,2001.0,0
144,Sonic the Hedgehog 2,8,1992.0,4
145,Metal Gear Solid 4: Guns of the Patriots,17,2008.0,0
146,Metal Gear Solid,15,1998.0,0
147,The Last of Us,17,2013.0,0
148,Final Fantasy XII,16,2006.0,7
149,LittleBigPlanet,17,2008.0,4
150,Dragon Quest IX: Sentinels of the Starry Skies,4,2009.0,7
151,LEGO Star Wars: The Complete Saga,26,2007.0,0
152,Resident Evil 2,15,1998.0,0
153,Tekken 2,15,1996.0,2
154,Cooking Mama,4,2006.0,9
155,Destiny,18,2014.0,8
156,Tetris,11,1988.0,5
157,Assassin's Creed II,17,2009.0,0
158,Super Smash Bros.,10,1999.0,2
159,Assassin's Creed,28,2007.0,1
160,Batman: Arkham City,17,2011.0,0
161,Forza Motorsport 3,28,2009.0,6
162,Monster Hunter Freedom Unite,19,2008.0,7
163,Super Mario Advance,6,2001.0,4
164,Mario Kart: Super Circuit,6,2001.0,6
165,Super Mario World,6,2001.0,4
166,Pokemon Stadium,10,1999.0,11
167,Call of Duty: World at War,17,2008.0,8
168,Crash Bandicoot: The Wrath of Cortex,16,2001.0,4
169,Minecraft,17,2014.0,3
170,Final Fantasy XIII,17,2009.0,7
171,Dr. Mario,5,1989.0,5
172,Pokemon Pinball,5,1999.0,3
173,Assassin's Creed III,28,2012.0,0
174,Final Fantasy IX,15,2000.0,7
175,Final Fantasy X-2,16,2003.0,7
176,Donkey Kong 64,10,1999.0,4
177,Assassin's Creed II,28,2009.0,0
178,Professor Layton and the Curious Village,4,2007.0,5
179,Tomb Raider II,15,1997.0,0
180,Madden NFL 2004,16,,10
181,Dragon Quest VIII: Journey of the Cursed King,16,2004.0,7
182,Diablo III,13,2012.0,7
